"var_name","Indicator","Description","Source","family",,,,,,,,,,,,,,
,"Rigorous and impartial public administration","It measures the extent to which public officials generally abide by the law and treat like cases alike, or conversely, the extent to which public administration is characterized by arbitrariness and biases (i.e., nepotism, cronyism, or discrimination). The question covers the public officials that handle the cases of ordinary people. If no functioning public administration exists, the lowest score (0) applies.","V-Dem, Variety of Democracy database","Accountability institutions",,,,,,,,,,,,,,
,"Open Data Barometer Index","It measures how governments are publishing and using open data for accountability, innovation and social impact (readiness and impact).","Open Data Barometer and World Wide Web Foundation","Accountability institutions",,,,,,,,,,,,,,
,"E-government Index","It considers the website development patterns in a country as well as access characteristics, such as the infrastructure and educational levels, to reflect how a country is using information technologies to promote access and inclusion of its people.","UN E-government Knowledgebase","Accountability institutions",,,,,,,,,,,,,,
,"E-participation Index","It represents the use of online services to facilitate provision of information by governments to citizens (“e-information sharing”), interaction with stakeholders (“e-consultation”), and engagement in decision-making processes (“e-decision making”).","UN E-government Knowledgebase","Accountability institutions",,,,,,,,,,,,,,
,"Efficient government spending","In your country, how efficient is the government in spending public revenue? [1 = extremely inefficient; 7 = extremely efficient]","WEF, Global Competitiveness Index","Public sector performance Institutions",,,,,,,,,,,,,,
,"Regulatory Enforcement score","Government regulations are effectively enforced"," Government regulations are applied & enforced without improper influence"," Administrative proceedings are conducted without unreasonable delay"," Due process is respected in administrative proceedings"," The government does not expropriate without lawful process & adequate compensation.","World Justice Project, Rule of Law","Public sector performance Institutions",,,,,,,,,,
,"Regulatory Governance score","It captures how policymakers interact with stakeholders when shaping regulations affecting business communities. It considers: publication of forward regulatory plans"," consultation on proposed regulations"," report back on the results of that consultation process"," conduct regulatory impact assessment"," laws are made publicly accessible.","World Bank, Global Indicators of Regulatory Governance database","Public sector performance Institutions",,,,,,,,,,
,"Public Procurement Score","It evaluates the legal and regulatory environments for public procurement, considering: Needs assessment, call for tender, and bid preparation; Bid submission; Bid opening, evaluation and award; Content and management of procurement contract; Performance guarantee; Payment of suppliers.","World Bank, Benchmarking Public Procurement","Public sector performance Institutions",,,,,,,,,,,,,,
,"Level of influence of the center of government","Indicators on whether the center of government has full or shared responsibility over a series of functions: Preparation of Cabinet meetings"," Policy coordination"," Relations with parliament"," Communication of government messages"," Government programme"," Monitoring of government policy"," Policy formulation"," Strategic planning"," Designing and implementing reform"," Risk anticipation and foresight"," Human resources strategy"," Relations with sub-levels of government"," International coordination"," Policy analysis"," Regulatory policy.","OECD Survey on Centre of Government","Public sector performance Institutions"
,"Starting a business","It measures the number of procedures, time, cost and paid-in minimum capital requirement for a small- to medium-size limited liability company to start up and formally operate in each economy’s largest business city.  ","Doing Business","Business environment and trade institutions",,,,,,,,,,,,,,
,"Construction permits","It records all procedures required for a business in the construction industry to build a standardized warehouse, along with their associated time and cost.","Doing Business","Business environment and trade institutions",,,,,,,,,,,,,,
,"Registering property","Assuming a standardized case of an entrepreneur who wants to purchase land and a building that is already registered and free of title dispute, it examines the steps, time, and cost involved in registering a property and the quality of the land administration system.","Doing Business","Business environment and trade institutions",,,,,,,,,,,,,,
,"Protecting minority investors","It measures aspects such as the protection of shareholders against directors' misuse of corporate assets for personal gain and the rights and role of shareholders in corporate governance.","Doing Business","Business environment and trade institutions",,,,,,,,,,,,,,
,"Paying taxes","It records the taxes and mandatory contributions that a medium-size company must pay or withhold in a given year, as well as the administrative burden of paying taxes and contributions.","Doing Business","Business environment and trade institutions",,,,,,,,,,,,,,
,"Trading across borders","It measures the time and cost (excluding tariffs) associated with three sets of procedures—documentary compliance, border compliance and domestic transport—within the overall process of exporting or importing a ship­ment of goods.","Doing Business","Business environment and trade institutions",,,,,,,,,,,,,,
,"Property rights","“In your country, to what extent are property rights, including financial assets, protected?” [1 = not at all; 7 = to a great extent]","World Economic Forum, Global Competitiveness Report","Business environment and trade institutions",,,,,,,,,,,,,,
,"Non-tariffs trade barriers","In your country, to what extent do non-tariff barriers (e.g., health and product standards, technical and labeling requirements, etc.) limit the ability of imported goods to compete in the domestic market? [1 = strongly limit; 7 = do not limit at all]","World Economic Forum, Global Competitiveness Report","Business environment and trade institutions",,,,,,,,,,,,,,
,"Foreign Investment Restrictions","Foreign ownership/investment restrictions (WEF, GCR)","Fraser Institute","Business environment and trade institutions",,,,,,,,,,,,,,
,"Capital controls","Capital controls (IMF)","Fraser Institute, IMF","Business environment and trade institutions",,,,,,,,,,,,,,
,"Freedom of foreigners to visit","Freedom of foreigners to visit (Robert Lawson and Jayme Lemke (2012)","Fraser Institute, Lawson and Lemke (2012)","Business environment and trade institutions",,,,,,,,,,,,,,
,"Extent of market dominance","In your country, how do you characterize corporate activity? [1 = dominated by a few business groups; 7 = spread among many firms].","WEF, Global Competitiveness Index","Business environment and trade institutions",,,,,,,,,,,,,,
,"Effectiveness of antimonopoly policy","In your country, how effective are anti-monopoly policies at ensuring fair competition?","WEF, Global Competitiveness Index","Business environment and trade institutions",,,,,,,,,,,,,,
,"Burden of government regulation","In your country, how burdensome is it for companies to comply with public administration’s requirements (e.g. permits, regulations, reporting)?","WEF, Global Competitiveness Index","Business environment and trade institutions",,,,,,,,,,,,,,
,"Burden of customs procedures","It measures business executives' perceptions of their country's efficiency of customs procedures.","WITS","Business environment and trade institutions",,,,,,,,,,,,,,
,"Efficiency and transparency of boarder administration","Efficiency and transparency of border administration. It captures efficiency, transparency and costs associated with importing and exporting goods. It includes an assessment of the range, quality and comprehensiveness of key services offered by customs and related agencies, and the average time, costs and number of documents required to, respectively, import and export goods. It also assesses the time predictability of border procedures, as well as the transparency of the process and the prevalence of corruption.","WEF, Enabling Trade Index","Business environment and trade institutions",,,,,,,,,,,,,,
,"Efficiency of the clearance process by border control agencies, including customs","Efficiency of customs clearance processes (i.e. speed, simplicity and predictability of formalities) by border control agencies, including customs","WB International LPI","Business environment and trade institutions",,,,,,,,,,,,,,
,"Complexity of regulatory procedures","Simple average of two components: (i) Use of ‘one-stop-shops’ and the ‘silence is consent’ rule for issuing licenses and accepting notifications, (ii) The government’s communication strategy and efforts to reduce and simplify the administrative burden of interacting with the government.","Product Market Regulation (PMR) Indicators","Business environment and trade institutions",,,,,,,,,,,,,,
,"Administrative burdens on startups","Simple average of three components: (i) Administrative burdens on creating a public limited company, (ii) Administrative burdens on creating an individual enterprise, (iii) Entry barriers in professional services, freight transport services and retail distribution.","Product Market Regulation (PMR) Indicators","Business environment and trade institutions",,,,,,,,,,,,,,
,"Regulatory protection of incumbents","Simple average of three components: (i) Pervasiveness of barriers to entry in 30 business sectors as a share of sectors in which there are explicit legal limitations on the number of competitors, (ii) Scope of exemptions from competition law for public enterprises, (iii) Entry barriers in 8 network sectors (gas, electricity, water, rail transport, air transport, road freight transport, postal services and telecommunication) and degree of vertical separation in 3 network sectors (gas, electricity and rail transport).","Product Market Regulation (PMR) Indicators","Business environment and trade institutions",,,,,,,,,,,,,,
,"Explicit barriers to trade and investment","Simple average of two components: (i) Restrictiveness of a country’s FDI rules in 22 sectors in terms of foreign equity limitations, screening or approval mechanisms, restrictions on the employment of foreigners as key personnel and operational restrictions (e.g. restrictions on branching and on capital repatriation or on land ownership), (ii) Simple cross-product average of effectively applied tariffs.","Product Market Regulation (PMR) Indicators","Business environment and trade institutions",,,,,,,,,,,,,,
,"Other barriers to trade and investment","Simple average of two components: (i) Discrimination of foreign firms with respect to taxes and subsidies, public procurement, entry regulation and appeal and procedure, (ii) Recognition of foreign regulations, use of international standards and international transparency of domestic regulation.","Product Market Regulation (PMR) Indicators","Business environment and trade institutions",,,,,,,,,,,,,,
,"Governance of state-owned enterprises","It measures the degree of political interference and the degree of insulation from market discipline. Higher values mean worse performance.","Product Market Regulation (PMR) Indicators","Institutions for service delivery",,,,,,,,,,,,,,
,"Price control","It measures whether tariffs are regulated and whether there are laws and regulations that limit competition. Higher values mean worse performance.","Product Market Regulation (PMR) Indicators","Institutions for service delivery",,,,,,,,,,,,,,
,"Use of command & control regulation","It measures the degree of autonomy of SOEs for taking market-related decisions, such as opening hours for retail distribution, if taxis are allowed to offer ride-sharing to customers, if air companies are free to choose which routes to serve, etc. It also measures whether SOEs (for utilities) are required to provide clear and transparent information to customers on tariffs and consumption. Higher values mean worse performance.","Product Market Regulation (PMR) Indicators","Institutions for service delivery",,,,,,,,,,,,,,
,"Index of economic freedom: financial freedom ","The extent of government regulation of financial services"," The degree of state intervention in banks and other financial firms through direct and indirect ownership"," The extent of financial and capital market development"," Government influence on the allocation of credit"," Openness to foreign competition. An overall score on a scale of 0 to 100 is given to an economy’s financial freedom through deductions from the ideal score of 100.","The Heritage Foundation and the Wall Street Journal","Financial market institutions",,,,,,,,,,
,"EFW index: Credit market regulations","Ownership of banks, Private sector credit, Interest rate controls/negative real interest rates.","Fraser Institute","Financial market institutions",,,,,,,,,,,,,,
,"EFW index: Freedom to own foreign currency bank accounts","0 represents countries where foreign currency bank accounts are restricted both domestically and abroad"," 10 represents countries where foreign currency bank accounts are permissible without any restrictions both domestically and abroad.","Fraser Institute","Financial market institutions",,,,,,,,,,,,,
,"Access to credit","The legal rights of borrowers and lenders with respect to secured transactions through one set of indicators and the reporting of credit information through another. The first measures whether certain features that facilitate lending exist within the appli­cable collateral and bankruptcy laws. The second measures the coverage, scope and accessibility of credit information available through credit reporting service providers such as credit bureaus or credit registries.","Doing business","Financial market institutions",,,,,,,,,,,,,,
,"Efficiency of the banking supervisory authority","Perception data collected through questionnaires. Answers range from 0 (minimum score) to 4 (maximum score).","Institutional Profiles Database","Financial market institutions",,,,,,,,,,,,,,
,"Efficiency of the financial market supervisory authority","Perception data collected through questionnaires. Answers range from 0 (minimum score) to 4 (maximum score).","Institutional Profiles Database","Financial market institutions",,,,,,,,,,,,,,
,"Financial sector: competition regulation","Perception data collected through questionnaires. Answers range from 0 (minimum score) to 4 (maximum score).","Institutional Profiles Database","Financial market institutions",,,,,,,,,,,,,,
,"Central Bank Independence","Index of de jure Central Bank Indepedence. Values range from 0 (minimum score) to 1 (maximum score). Method based in Cukierman, Webb, and Neyapty (1992).","Garriga (2016)","Financial market institutions",,,,,,,,,,,,,,
,"EFW index: Labor market regulations","Hiring regulations and minimum wage, Hiring and firing regulations, Centralized collective bargaining, Hours Regulations, Mandated cost of worker dismissal, Conscription.","Fraser Institute","Labor market institutions",,,,,,,,,,,,,,
,"Collective bargaining coverage rate ","Number of employees whose pay and/or conditions of employment are determined by one or more collective agreement(s) as a percentage of the total number of employees. Collective bargaining coverage includes, to the extent possible, workers covered by collective agreements in virtue of their extension.","ILO","Labor market institutions",,,,,,,,,,,,,,
,"Employment Protection Legislation Index, permanent workers","Composite indicator of Employment protection legislation governing regular contracts, individual dismissals.","ILO","Labor market institutions",,,,,,,,,,,,,,
,"Employment Protection Legislation Index, temporary workers","Composite indicator of Employment protection legislation governing temporary contracts, individual dismissals.","ILO","Labor market institutions",,,,,,,,,,,,,,
,"Trade union density","Number of union members who are employees as a percentage of the total number of employees. For the purpose of this indicator in particular, trade union membership excludes union members who are not in paid employment (self-employed, unemployed, retired, etc.).","ILO","Labor market institutions",,,,,,,,,,,,,,
,"Ratio of minimum to mean wages","Ratio of minimum to mean wages.","ILO","Labor market institutions",,,,,,,,,,,,,,
,"Civil society participation index","Major CSOs are routinely consulted by policymakers (v2cscnsult)"," Extent of the involvement of people in CSOs (v2csprtcpt)"," Women prevented from participating in CSOs (v2csgender)"," Legislative candidate nomination within party organization highly decentralized or made through party primaries (v2pscnslnl).","V-Dem, Variety of Democracy database","Social Institutions",,,,,,,,,,,
,"Core civil society index","Government's control over entry and exit by CSOs into public life (v2cseeorgs)"," government attempts to repress CSOs (v2csreprss)"," Extent of the involvement of people in CSOs (v2csprtcpt).","V-Dem, Variety of Democracy database","Social Institutions",,,,,,,,,,,,
,"Engaged Society","Wide and independent public deliberations when important policy changes are being considered. 0 represents countries where public deliberation is never, or almost never allowed; 5 represents countries where a large numbers of non-elite groups as well as ordinary people tend to discuss major policies among themselves, in the media, in associations or neighborhoods, or in the streets, and grass-roots deliberation is common and unconstrained.","V-Dem, Variety of Democracy database","Social Institutions",,,,,,,,,,,,,,
,"Public trust in politicians","In your country, how do you rate the ethical standards of politicians? [1 = extremely low; 7 = extremely high] | 2016–17 weighted average","WEF, Global Competitiveness Index","Social Institutions",,,,,,,,,,,,,,
