api_id,EFI vs Manual,EFI_Indicator_ID,CLIAR_ID,var_api,Indicator,variable,var_level,family_var,family_name,Status,Included in new version,Benchmarked CTF,new_family_name,reason for change,data_source,processing,description,To Invert,source,data_EFI_ID,version,FLAGGED,Check Source Result
,Manual,,WDI_per_allspadq_pop_tot,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),,,,,Removed,,?,Service Delivery Institutions,,,,"Adequacy of social protection and labor programs (SPL) is measured by the total transfer amount received by the population participating in social insurance, social safety net, and unemployment benefits and active labor market programs as a share of their total welfare. Welfare is defined as the total income or total expenditure of beneficiary households. Estimates include both direct and indirect beneficiaries.",,WDI,,,"this is a repeat from Aspire, we just need one indicator on adquacy and one on coverage",
,Manual,,WB_ASPIRE_ADEQUACY_BENEFITS,Adequacy of benefits (%) -All Social Protection and Labor ,Adequacy of Social Protection benefits,NA,indicator,NA,NA,New addition,Yes,Yes,Service Delivery Institutions,,NA,NA,,,ASPIRE,,,,
,Manual,,WDI_per_sa_allsaadq_pop_tot,Adequacy of social safety net programs (% of total welfare of beneficiary households),Adequacy of social safety net programs (% of total welfare of beneficiary households),,,,,Removed,,?,Service Delivery Institutions,,,,"Adequacy of social safety net programs is measured by the total transfer amount received by the population participating in social safety net programs as a share of their total welfare. Welfare is defined as the total income or total expenditure of beneficiary households. Social safety net programs include cash transfers and last resort programs, noncontributory social pensions, other cash transfers programs (child, family and orphan allowances, birth and death grants, disability benefits, and other allowances), conditional cash transfers, in-kind food transfers (food stamps and vouchers, food rations, supplementary feeding, and emergency food distribution), school feeding, other social assistance programs (housing allowances, scholarships, fee waivers, health subsidies, and other social assistance) and public works programs (cash for work and food for work). Estimates include both direct and indirect beneficiaries.",,WDI,,,"this is a repeat from Aspire, we just need one indicator on adquacy and one on coverage",
,Manual,,WDI_SEPRMTENR,"Adjusted net enrollment rate, primary (% of primary school age children)","Adjusted net enrollment rate, primary (% of primary school age children)",,indicator,,,New addition,,No,Service Delivery Institutions,,,,"Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.",,WDI,,,,
,EFI,WJP.ROL.7.7,WJP_ROL_7_7,"Alternative dispute resolution mechanisms are accessible, impartial, and effective",Alternative dispute resolution mechanisms,,indicator,,Justice ,New addition,Yes,Yes,Justice Institutions,,,,"Alternative dispute resolution mechanisms are accessible, impartial, and effective (WJP Rule of Law Index)",,"World Justice Project, Rule of Law",WJP.ROL,,,
,EFI,WB.PEFA.PI-2016-29,WB_PEFA_PI-2016-29,PEFA: PI-29 Annual financial reports,Annual financial reports,,indicator,,,New addition,Yes,Yes,Public Financial Management Institutions,,,,"The extent to which annual financial statements are complete, timely, and consistent with generally accepted accounting principles and standards.",,Public Expenditure Financial Accountability,WB.PEFA,,,
,Manual,,WDI_MSMILTOTLTFZS,Armed forces personnel (% of total labor force),Armed forces personnel (% of total labor force),,indicator,,,New addition,Yes,No,(other indicators),,,,"Armed forces personnel are active duty military personnel, including paramilitary forces if the training, organization, equipment, and control suggest they may be used to support or replace regular military forces. Labor force comprises all people who meet the International Labour Organization's definition of the economically active population.",,WDI,,,,
,EFI,BS.BTI.Q2.3 ,BS_BTI_Q2_3 ,Bertelsmann Transformation Index: Association / assembly rights,Association and assembly rights,,indicator,,Social ,New addition,Yes,Yes,Social Institutions,,,,"This indicator assesses to what extent can individuals form and join independent political or civic groups? To what extent can these groups operate and assemble freely? This considers: if the constitution guarantees freedom of association and assembly, and if these laws are enforced; if there are severe restrictions on assembly and association for all citizens or for particular groups; if the government uses intimidation, harassment or threats of retaliation to prevent citizens from exercising the rights to association and assembly (e.g. by arbitrarily arresting, detaining and imprisoning peaceful demonstrators or using excessive force); if the government uses transparent and non-discriminatory criteria in evaluating requests for permits to associate and/or assemble; if groups are able to operate free from unwarranted state intrusion or interference in their affairs",,Bertelsmann Transformation Index,BS.BTI,,,
,Manual,,RISE_RE_4,Attributes of financial and regulatory incentives,Attributes of financial and regulatory incentives,,indicator,,,New addition,Yes,Yes,Climate Change and Environment Institutions,,,,"This indicator is created by weighing the sub-indicators: Is there a schedule for future bids/auctions available for investors; Is there a pre-qualification process to select bidders; Are tariffs indexed (in part or in whole) to an international currency or to inflation; Are there provisions to ensure full and timely project completion (e.g. bid-bonds, project milestones); Are projects awarded through auctions/bids online/on track to be online on stated date; Have auctions/bids met stated target for installations; Can small producers (residential, commercial rooftop PV,etc ) connect to the grid; Are contracts with fixed tariffs available for such producers; Is there a schedule or clear rules (e.g. capacity based limits) for adjusting the tariff level over time; Are different tariffs available for different technologies and sizes of the generation plant; Is there a mechanism to control the capacity built under each tariff; Are tariffs indexed (in part of in whole) to an international currency or to inflation",,RISE,N/A,,,
New indicator,EFI,BS.SGI.196,BS.SGI.196,Sustainable Governance Indicators: Audit Office,Audit Office,NA,indicator,NA,NA,New addition,Yes,?,Transparency and Accountability Institutions,New. Countries=41,,,Does there exist an independent and effective audit office?,,Sustainable Governance Indicators,BS.SGI,,,
,Manual,,WDI_SHSTABRTCZS,Births attended by skilled health staff (% of total),Births attended by skilled health staff (% of total),,indicator,,,New addition,,?,Service Delivery Institutions,,,,"Births attended by skilled health staff are the percentage of deliveries attended by personnel trained to give the necessary supervision, care, and advice to women during pregnancy, labor, and the postpartum period; to conduct deliveries on their own; and to care for newborns.",,WDI,,,,
,EFI,BS.BTI.SI ,BS_BTI_SI ,Bertelsmann Transformation Index: Democracy Status,Democracy Status,,indicator,,Political ,New addition,Yes,Yes,Political Institutions,Replacing the Polity IV combined indicator for overall democracy,,,"The democracy status is made up of five criterion: Stateness, measured by the normative statement ""There is clarity about the nation's existence as a state with adequately established and differentiated power structures""; Political Participation, measured by the normative statement ""The populace decides who rules and it has other political freedomsRule of Law measured by the normative statement ""State powers check and balance one another and ensure civil rights""; Stability of Democratic Institutions, measured by the normative statement  ""Democratic Institutions are capable fo performing, and they are adequately accepted""; and Political and Social Integration, measured by the normative statement ""Stable patterns of representation exist fo rmediating between society and the state; there is also a consolidated civic culture"" ",,Bertelsmann Transformation Index,BS.BTI,,,
41114,EFI,WB.PEFA.PI-2016-05,WB_PEFA_PI-2016-05,Budget Documentation,Budget Documentation,pefa_budgetdoc,indicator,vars_transp,"Anticorruption, transparency and accountability ",Maintained,Yes,Yes,Transparency and Accountability Institutions,restructuring of institutional families,API,,"The comprehensiveness of information provided in the annual budget documentation, as measured against a specified list of basic and additional elements",,Public Expenditure Financial Accountability,WB.PEFA,GBID 1.0,,
,EFI,WB.PEFA.PI-2016-17,WB_PEFA_PI-2016-17,PEFA: PI-17 Budget preparation process,Budget preparation process,,indicator,,,New addition,Yes,Yes,Public Financial Management Institutions,,,,"The effectiveness of participation by relevant stakeholders in the budget preparation process, including political leadership, and whether that participation is orderly and timely.",,Public Expenditure Financial Accountability,WB.PEFA,,,
,Manual,,RISE_EE_9,Building Energy Codes,Building Energy Codes,,indicator,,,New addition,Yes,Yes,Climate Change and Environment Institutions,,,,"This indicator is created by weighing the sub-indicators: What strategies, standards, codes, and regulations are in place for new residential and commerical buildings; What compliance systems are in place; Are renovated buildings in the commerical and residential sectors required to meet a building energy code; Are building EE standards required to be updated as technology advances; Is there a mandatory standardized rating or labeling system for the energy performance of existing buildings; Are commercial and residential buildings required to disclose property energy usage at the point of sale or when leased; Are large commercial and residential buildings required to disclose property energy usage annually; Are there targets or incentives in place for green buildings? If so, what percentage of buildings are certified green; What % of buildings are actually certified ""green"" or energy efficient according to the incentive scheme ",,RISE,N/A,,,
41008,,,,Burden of gov. regulation,Burden of gov. regulation,govreg_burden,indicator,vars_mkt,Business environment and trade ,Removed,No,N/A,(removed),the data has been discontinued,original,,"In your country, how burdensome is it for companies to comply with public administrations requirements (e.g. permits, regulations, reporting)?",,World Economic Forum Global Competitiveness Index,,GBID 1.0,,
41008,,WEF.GCIHH.EOSQ048,,"Burden of government regulation, 1-7 (best)","Burden of government regulation, 1-7 (best)",customs_burden,indicator,vars_mkt,Business environment and trade ,Removed,No,N/A,(removed),the data has been discontinued,API,,It measures business executives perceptions of their countrys efficiency of customs procedures.,,World Economic Forum Global Competitiveness Index,,GBID 1.0,,
41814,EFI,IDEA.GSOD.v_33_06,IDEA_GSOD_v_33_06,Bureaucratic quality ,Bureaucratic quality ,bureaucraticqa,indicator,vars_publ,Public sector performance ,Removed,No,No,Public Human Resource Management Institutions,Not available from GSOD due to being based on ICRG data (not public).,API,,"The institutional strength and quality of the bureaucracy is another shock absorber that tends to minimize revisions of policy when governments change. Therefore, high points are given to countries where the bureaucracy has the strength and expertise to govern without drastic changes in policy or interruptions in government services. In these low-risk countries, the bureaucracy tends to be somewhat autonomous from political pressure and to have an established mechanism for recruitment and training. Countries that lack the cushioning effect of a strong bureaucracy receive low points because a change in government tends to be traumatic in terms of policy formulation and day-to-day administrative functions. Hosted by GSOD, from ICRG.",,Global State of Democracy,IDEA.GSOD,GBID 1.0,This not in meta data indicator 1,IDEA.GSOD.v_33_06
New indicator,Manual,,HERITAGE_BusinessFreedom,Business freedom score,Business freedom,NA,indicator,NA,NA,New addition,Yes,Yes,Business Environment and Trade Institutions,this is a replacement for the WEF variables that were discontinued,NA,NA,"The business freedom component measures the extent to which the regulatory and infrastructure environments constrain the efficient operation of businesses. The quantitative score is derived from an array of factors that affect the ease of starting, operating, closing a business.",,Heritage Index of Economic Freedom,,GBID 1.0,,
,Manual,,fraser_efw_capital_controls,Capital controls,Capital controls,efw_capitalcontrols,indicator,vars_fin,Financial market ,Maintained,Yes,Yes,Financial Institutions,,original,,"The zero-to-10 rating is the percentage of capital controls not levied as a share of the total number of capital controls listed, multiplied by 10. Source: International Monetary Fund, Annual Report on Exchange Arrangements and Exchange Restrictions. Higher values indicate higher capital mobility (i.e., fewer controls).",,International Monetary Fund,,GBID 1.0,MISSING,
,Manual,,RISE_RE_7,Carbon Pricing and Monitoring,Carbon Pricing and Monitoring,,indicator,,,New addition,Yes,Yes,Climate Change and Environment Institutions,,,,"This indicator is an combination of two sub-indicators. Is there carbon pricing mechanism tha covers GHG emissions within the country (Yes/No)? Is there a monitoring, reporting and verification system for GHG emissions in place (Yes/No)? If both sub-indicators are Yes, this indicator has the value 100, if both are No, this indicator has the value 0, and if one is Yes and one is No, this indicator has the value 50",,RISE,N/A,,Based on only 2 binary indicators,
New indicator,Manual,,spi_census_and_survey_index,Censuses and Surveys,Censuses and Surveys,NA,indicator,NA,NA,New addition,Yes,Yes,Digital and Data Institutions,,NA,NA,"Availability of recent censuses and surveys covering broad areas. The following censuses and surveys are considered: Population & Housing census, Agriculture census, Business/establishment census, Household Survey on income/ consumption/ expenditure/ budget/ Integrated Survey, Agriculture survey, Labor Force Survey, Health/Demographic survey, Business/establishment survey. Source: NSO websites, World Bank microdata library, ILO microdata library, IHSN microdata library.",,SPI,,,,
,Manual,,romelli_cbi_central_bank_independence,Central bank independence,Central bank independence,cbi,indicator,vars_fin,Financial market ,Maintained,Yes,Yes,Financial Institutions,,original,,"Index of de jure Central Bank Indepedence. Values range from 0 (minimum score) to 1 (maximum score). Method based in Cukierman, Webb, and Neyapty (1992).",,Romelli (2022),,GBID 1.0,,
,Manual,,WDI_GCDODTOTLGDZS,"Central government debt, total (% of GDP)","Central government debt, total (% of GDP)",,indicator,,,New addition,Yes,No,(other indicators),,,,"Debt is the entire stock of direct government fixed-term contractual obligations to others outstanding on a particular date. It includes domestic and foreign liabilities such as currency and money deposits, securities other than shares, and loans. It is the gross amount of government liabilities reduced by the amount of equity and financial derivatives held by the government. Because debt is a stock rather than a flow, it is measured as of a given date, usually the last day of the fiscal year.",,WDI,,,,
,,,,"Centre of Government, influence","Centre of Government, influence",centregov_mean,indicator,vars_publ,Public sector performance ,Removed,No,N/A,(other indicators),,original,,Indicators on whether the center of government has full or shared responsibility over a series of functions: Preparation of Cabinet meetings; Policy coordination; Relations with parliament; Communication of government messages; Government programme; Monitoring of government policy; PolicyÂ formulation; Strategic planning; Designing and implementing reform; Risk anticipation and foresight; Human resources strategy; Relations with sub-levels of government; International coordination; Policy analysis; Regulatory policy.,,OECD Survey on Centre of Government,,GBID 1.0,,
41825,,,,Checks on government ,Checks on government ,checks,indicator,vars_pol,Political ,Removed,No,N/A,Political institutions,Discountinued from original source (GSOD),API,,"Checks on Government measures elective control of executive power. It includes three subattributes: Elective Parliament, Judicial Independence and Media Integrity. The three subattributes were aggregated into the Checks on Government index using BFA.",,Global State of Democracy,IDEA.GSOD,GBID 1.0,,
,EFI,WJP.ROL.7.6,WJP_ROL_7_6,Civil justice is effectively enforced,Civil justice is effectively enforced,,indicator,,Justice ,New addition,Yes,Yes,Justice Institutions,,,,Measures the effectiveness and timeliness of the enforcement of civil justice decisions and judgments in practice.,,"World Justice Project, Rule of Law",WJP.ROL,,,
,EFI,WJP.ROL.7.5,WJP_ROL_7_5,Civil justice is not subject to unreasonable delays,Civil justice is not subject to unreasonable delays,,indicator,,Justice ,New addition,Yes,Yes,Justice Institutions,,,,Measures whether civil justice proceedings are conducted and judgments are produced in a timely manner without unreasonable delay.,,"World Justice Project, Rule of Law",WJP.ROL,,,
40985,EFI,FH.FIW.CL.RATING,FH_FIW_CL_RATING,Civil Liberties,Civil Liberties,e_fh_cl,indicator,vars_pol,Political ,Reclassified,Yes,Yes,Social Institutions,Moved from Political to Social,API,8 - .x,"Civil Liberties is measured on a one-to-seven scale, with one representing the highest degree of Freedom and seven the lowest",,Freedom House,FH.FIW,GBID 1.0,,
,Manual,,VDEM_CORE_v2x_civlib,Civil liberties index,Civil liberties index,v2x_civlib,indicator,,Social ,New addition,Yes,No,Social Institutions,Not benchmarked because it is an index that includes other components already in the family. Useful to have in general.,,,"To what extent is civil liberty respected? Clarification: Civil liberty is understood as liberal freedom, where freedom is a property of individuals. Civil liberty is constituted by the absence of physical violence committed by government agents and the absence of constraints of private liberties and political liberties by the government. The index is formed by taking the average of physical violence index (v2x_clphy), political civil liberties index (v2x_clpol), and private civil liberties (v2x_clpriv).",,"V-Dem, Variety of Democracy database",VDEM.CORE,,,
28738,Manual,,VDEM_CORE_v2x_cspart,Civil society participation,Civil society participation,v2x_cspart,indicator,vars_social,Social ,Maintained,Yes,Yes,Social Institutions,,API,,"Question: Are major CSOs routinely consulted by policymakers; how large is the involvement of people in CSOs; are women prevented from participating; and is legislative candidate nomination within party organization highly decentralized or made through party primaries? The sphere of civil society lies in the public space between the private sphere and the state. Here, citizens organize in groups to pursue their collective interests and ideals. We call these groups civil society organizations CSOs. CSOs include, but are by no means limited to, interest groups, labor unions, spiritual organizations if they are engaged in civic or political activities, social movements, professional associations, charities, and other non-governmental organizations. The core civil society index CCSI is designed to provide a measure of a robust civil society, understood as one that enjoys autonomy from the state and in which citizens freely and actively pursue their political and civic goals, however conceived. Aggregation: The index is formed by taking the point estimates from a Bayesian factor analysis model of the indicators for candidate selection — national/local (v2pscnslnl), CSO consultation (v2cscnsult),CSO participatory environment (v2csprtcpt), and CSO women participation (v2csgender).",,"V-Dem, Variety of Democracy database",VDEM.CORE,GBID 2.0,We can improve on the index with subcomponents?,
,Manual,,WDI_ENATMCO2EPPGDKD,CO2 emissions (kg per 2017 PPP $ of GDP),CO2 emissions (kg per 2017 PPP $ of GDP),,indicator,,,New addition,Yes,No,(other indicators),,,,"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",,WDI,,,,
,,,,Collective bargaining coverage,Collective bargaining coverage,collective_barg,indicator,vars_lab,Labor market ,Removed,No,N/A,(removed),"this is a system choice, you can regulate labor through labor law or through collective aggrements. One is not better than the other. This variable is not useful for our purposes.",original,,"Number of employees whose pay and/or conditions of employment are determined by one or more collective agreement(s) as a percentage of the total number of employees. Collective bargaining coverage includes, to the extent possible, workers covered by collective agreements in virtue of their extension.",,ILO,,GBID 1.0,,
,EFI,BS.BTI.Q7.2,BS_BTI_Q7_2,Competition Policy,Competition Policy,,indicator,,,New addition,Yes,Yes,Business Environment and Trade Institutions,,,,"To what level have the fundamentals of market-based competition developed? The main focus of this question is to assess if free and fair competition is guaranteed by an institutional framework that ensures unrestricted participation in the market and a level playing field for all market participants. From ""Market competition is present only in small segments of the economy and its institutional framework is rudimentary. Rules for market participants are unreliable and frequently set arbitrarily. The informal sector is large."" to ""Market competition is consistently defined and implemented both macroeconomically and microeconomically. There are state-guaranteed rules for market competition with equal opportunities for all market participants. The informal sector is very small."" ",,Bertelsmann Transformation Index,BS.BTI,,,
,,,,Competition regulation,Competition regulation,competition_rules_fin,indicator,vars_fin,Financial market ,Removed,No,N/A,(removed),"the last data is from 2016, it looks like it has been discontinued",original,,Competition regulation in the Financial Sector. Perception data collected through questionnaires. Answers range from 0 (minimum score) to 4 (maximum score).,,Institutional Profiles Database,,GBID 1.0,,
27894,EFI,WJP.ROL.3.4,WJP_ROL_3_4,Complaint mechanisms,Complaint mechanisms,complaint_mechan,indicator,vars_transp,"Anticorruption, transparency and accountability ",Maintained,Yes,Yes,Transparency and Accountability Institutions,restructuring of institutional families,API,,"Measures whether people are able to bring specific complaints to the government about the provision of public services or the performance of government officers in carrying out their legal duties in practice, and how government officials respond to such complaints. Coded from 0 to 1, with higher scores indicating stronger mechanisms.",,"World Justice Project, Rule of Law",WJP.ROL,GBID 1.0,,
,Manual,,WDI_SPREGBRTHZS,Completeness of birth registration (%),Completeness of birth registration (%),,indicator,,,New addition,Yes,?,Service Delivery Institutions,,,,Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.,,WDI,,,,
,Manual,,WDI_SPREGBRTHRUZS,"Completeness of birth registration, rural (%)","Completeness of birth registration, rural (%)",,indicator,,,New addition,Yes,?,Service Delivery Institutions,,,,Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.,,WDI,,,,
,Manual,,WDI_SPREGBRTHURZS,"Completeness of birth registration, urban (%)","Completeness of birth registration, urban (%)",,indicator,,,New addition,Yes,?,Service Delivery Institutions,,,,Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.,,WDI,,,,
